STRAIN	TELOMERE_RESID
AB1	-8.366645324560787
BRC20067	-0.7885228445590274
BRC20263	-4.049008600392356
CB4852	-0.4934484706839471
CB4854	-11.830899872830788
CB4932	-0.552399806198558
CX11254	-4.701894807903172
CX11262	-12.013948217511922
CX11264	13.686027610274342
CX11271	-3.980922898325856
CX11276	-9.353416215255098
CX11285	-6.945364496340908
CX11292	18.046559738904534
CX11307	-6.710069194426515
CX11314	-1.6038930657937047
CX11315	24.225537224260844
DL200	-2.390663308588429
DL226	-2.1162776549393296
ECA1069	-4.958838213557787
ECA1074	-9.067198997202047
ECA1255	-0.8955421010139388
ECA1316	-6.261948292327117
ECA1889	0.052787627121757316
ECA1901	-9.611739864684763
ECA245	-10.29755581463837
ECA249	-6.85666546357603
ECA251	15.500750121311217
ECA2522	-9.264111467598305
ECA2527	-4.433398291559115
ECA2529	5.025362394082239
ECA2533	0.15418062803755214
ECA2536	1.0949826320836726
ECA2546	-3.184337744026332
ECA2549	3.6038166954948774
ECA2551	3.4363689557903063
ECA2554	4.174458343333111
ECA2555	-1.1472493596209872
ECA2559	-7.324747043602571
ECA2560	7.370967138481571
ECA2565	5.25051409673116
ECA2568	-0.8447093023682549
ECA2583	-5.514414206907753
ECA2584	8.121864256408006
ECA259	-6.60281111340301
ECA2594	7.549286159716632
ECA2602	3.4976508630313465
ECA2603	-1.2870515189220422
ECA2607	2.7584935102489583
ECA2609	-4.650087674809274
ECA2615	-1.631816553999132
ECA2641	0.29443819382253134
ECA2648	-1.9904897200266614
ECA2656	11.404883361805261
ECA2672	4.208242523105236
ECA2676	-1.0923021208785937
ECA349	13.990531652146192
ECA592	-13.321514377015708
ECA640	4.488257361210222
ECA738	-0.5358046350259119
ECA743	4.079821556027413
ECA923	-2.5879023603449327
ECA930	-3.432872267698362
ED3005	-14.727370833833222
ED3011	21.09110541440684
ED3012	3.32185553905104
ED3017	3.553338083749606
ED3040	-1.3937351477194013
ED3046	-13.257196256660757
ED3048	0.10706612516741341
ED3049	10.471323234909534
ED3052	3.6088604246592157
ED3073	-1.2099572980050193
ED3077	-0.04819461687233269
EG4347	0.9736654016731909
EG4349	-0.4259699666607602
EG4724	-6.232892884329768
EG4725	-4.440491640951778
EG4946	-6.4826538323716045
GXW1	-2.615592999173167
JT11398	16.97843491095476
JU1088	0.7418461165470867
JU1172	1.0253214605969945
JU1200	6.014139428448041
JU1212	2.64121099576272
JU1213	-1.1389114656807813
JU1242	-5.601408968268209
JU1246	2.562347272901727
JU1249	-5.453833763968053
JU1395	-2.1685081369923167
JU1400	-7.175713346892802
JU1409	-1.976689871690942
JU1440	-6.522907224081232
JU1491	-2.6557523296865777
JU1530	-0.03453687965514908
JU1543	-3.1044602599602675
JU1568	-3.508672601437611
JU1581	-3.150352618311677
JU1586	-3.266617948743479
JU1652	-3.7347236387124867
JU1666	-3.2533856758612885
JU1792	2.7944127205494405
JU1793	4.056011376050869
JU1808	-3.577580892227575
JU1896	0.5192716589821401
JU1934	-0.7862117530695794
JU2001	7.980178451338384
JU2007	-6.943743270041425
JU2016	-11.530136344193684
JU2017	-9.089185858841896
JU2106	-1.364849753066051
JU2131	3.2772113368320746
JU2141	0.6992304456917973
JU2234	8.80478300389802
JU2250	-4.735079780871632
JU2257	-0.8180672208031448
JU2464	-4.631166374722728
JU2466	-1.960018971678792
JU2478	2.3685924079950658
JU2513	-3.0171856487436797
JU2522	1.7135850175454386
JU2534	11.649196188336855
JU2565	2.3670262550693764
JU2566	-1.8588004580053468
JU2570	0.08285106601191981
JU2572	-1.612640095441178
JU2575	-14.006598389724642
JU2576	5.5635045229714635
JU2578	2.4607934146932036
JU258	4.020248203056096
JU2581	-2.5484150136366015
JU2586	4.6475622457539085
JU2587	5.456777034539991
JU2592	1.7491082613947135
JU2593	1.032837391670368
JU2600	0.9406210886982196
JU2610	-7.09169580482514
JU2619	-6.652515920711794
JU2800	-0.21025473656989438
JU2811	-0.1949425557196347
JU2825	1.8727223699702904
JU2829	3.25774487165239
JU2838	2.764049579912445
JU2841	-2.6941116441799156
JU2853	-3.442513150026115
JU2862	-6.1384096789230735
JU2866	-7.643857060033061
JU2878	-0.6644642867638909
JU2879	2.3537875398326373
JU2906	3.7775734451066367
JU2907	-6.057776837010879
JU310	-7.026610805145341
JU311	-9.18075057556824
JU3125	-2.1587711416780997
JU3127	-2.0537251723187846
JU3128	-1.0778879408089779
JU3132	1.8975517116743652
JU3134	3.8741128076439577
JU3135	-1.1807789508655369
JU3137	9.156881743258996
JU3140	-0.9827893357358229
JU3141	3.6295231017781107
JU3144	-1.8392940681960512
JU3166	-4.228353030498516
JU3167	-1.8795172871561114
JU3169	-3.494922043096397
JU3224	-0.8076867067293272
JU3225	-2.6650954789821686
JU3228	4.218812513954554
JU323	-1.467556131724196
JU3280	-1.317036816468181
JU3282	-2.918338550522519
JU3291	-4.033113324891296
JU3318	-3.3114099211118457
JU346	5.005868842115872
JU360	4.220053348947273
JU367	-1.91192277702292
JU3795	1.8671817313549357
JU393	-1.298501223902402
JU394	2.9457392456397042
JU397	-3.2288474015050133
JU4047	8.000361402857331
JU406	-7.413226381866189
JU4073	-2.7471775049442146
JU4098	-2.363561358557176
JU4161	1.190207239812396
JU440	-8.689845503823184
JU561	1.0614385803712139
JU642	-11.363810887801275
JU751	-1.3934548910890452
JU774	-5.909069906856506
JU778	4.754035030203369
JU782	-7.26995702029822
JU792	-1.0926508487665172
JU830	-2.0816363676677443
JU847	3.7807819353291383
KR314	-2.414495391404778
LKC34	7.836807301322789
MY1	0.18858417027167781
MY10	2.807256408508107
MY18	-2.104665230479884
MY2147	7.00442532845021
MY2212	-1.713899813073077
MY2453	-2.157287451367085
MY2530	2.223830341687894
MY2535	1.957259383668184
MY2573	9.963342301455425
MY2585	7.66436839099266
MY2693	-0.5868308817983128
MY2713	4.198531580300322
MY2741	-6.241469849135477
MY518	31.05114348258239
MY679	2.3448959327245995
MY772	2.9125156149914035
MY795	-2.8227943636489807
MY920	1.6808635945463326
N2	-4.476800507896799
NIC1	-6.582739631838593
NIC1049	1.0325521281716394
NIC1107	1.690523874856241
NIC1119	-3.679245191561185
NIC166	0.3099595322441371
NIC1698	4.251831168358834
NIC1700	-4.122213143716154
NIC1772	1.9515157432730628
NIC1773	-2.4151954046037143
NIC1775	-6.126583482044868
NIC1779	-4.2571614643633175
NIC1780	3.5135114738305377
NIC1782	5.986965432549669
NIC1783	3.98067918556328
NIC1785	-4.681064339413714
NIC1786	-2.6361581480737706
NIC1788	0.041061509577927466
NIC1790	-8.219283252926974
NIC1791	-2.940974769470098
NIC1792	1.343718041241747
NIC1794	3.466055340320301
NIC1796	5.065221815188937
NIC1798	0.8987055823984347
NIC1799	3.0519696309347406
NIC1801	-1.2175187865389148
NIC1802	-5.31389327047619
NIC1805	-2.3981525652044344
NIC1808	4.328802182356212
NIC1809	-1.8696350452581179
NIC1810	10.918758152470094
NIC1811	-3.2173611354205818
NIC1812	-2.826642430529633
NIC1832	5.5542182851459385
NIC199	7.519324272489832
NIC2	-8.889164145164038
NIC2021	1.310138348028236
NIC207	20.492127986051816
NIC2076	2.4373769715257096
NIC231	-8.291663875829633
NIC236	-1.2886719090137342
NIC242	-1.3646680269834883
NIC252	-6.252644612099115
NIC255	10.282135716121491
NIC256	-2.6915659468048614
NIC259	4.000686836434429
NIC260	0.03489479237153385
NIC266	6.579014432401785
NIC267	-5.11392801231237
NIC269	0.6598056928003757
NIC271	1.2452262971097547
NIC272	-3.5820613358630378
NIC274	-1.3364349045640236
NIC275	-0.20319780427134113
NIC276	-3.7822814301357806
NIC277	-1.1423072025766734
NIC3	-9.36578349571777
NIC501	0.534048956059459
NIC511	-7.208390635780919
NIC513	5.50333714312256
NIC514	9.412743528166386
NIC515	3.0149740694836136
NIC522	0.9122962932837138
NIC523	-2.923500901888258
NIC526	8.551828543022014
NIC527	4.323988234688386
NIC528	3.86601321832149
NIC529	-1.4871272519924248
PB303	11.750857351867982
PS2025	-16.573135119563595
PX179	1.5692444142400441
QG2075	1.6678918917074412
QG2811	-3.3541903834157805
QG2813	-1.1285517037020225
QG2818	4.691329448145852
QG2823	12.839218477492992
QG2824	-3.5242556550470177
QG2825	2.41365655359307
QG2827	2.714756463783364
QG2828	3.0585923994193855
QG2832	-2.7631300168230903
QG2835	4.959434498148713
QG2836	2.656425797334913
QG2837	2.725445728467891
QG2838	-8.765720531267986
QG2841	8.430951738901529
QG2843	5.36319753799944
QG2846	0.4200346417484341
QG2850	4.034058555525191
QG2854	1.7210829897760225
QG2855	-0.22120402755892413
QG2857	-2.9584273787321247
QG2873	1.0304144649989617
QG2874	4.632599489296616
QG2875	3.340927460231799
QG2877	2.501582985457859
QG2932	2.541369353398936
QG4003	0.5444083759590962
QG4004	1.732602191222945
QG4006	-2.7902040276671696
QG4008	-6.387524634752009
QG4010	5.193010695229438
QG4012	7.1813800794939056
QG4015	-5.591696846270953
QG4017	2.112049870780777
QG4018	0.3921712751146751
QG4021	3.8921912933480365
QG4080	-0.13971426038003035
QG4135	-0.12993752591226346
QG4138	3.124253933737523
QG4147	0.08118750366778825
QG4151	-1.323304721182887
QG4193	-5.575773634913597
QG4226	1.167907303589588
QG4228	0.885836762953101
QG536	-8.354998399516282
QG556	12.793390593619943
QG557	10.918180925673019
QW947	-4.459787766570666
QX1212	11.400196959609195
QX1233	-5.616602992724387
QX1792	0.8265078205892142
QX1794	6.705078711088046
RC301	13.046273969193578
TWN2530	-7.647872432482209
TWN2542	-5.851446117459691
WN2001	-6.351794774851363
WN2002	-0.44947275565773886
WN2033	4.126153813297578
WN2050	0.04014074458251081
WN2063	1.9719920249983915
WN2064	0.6443763072725552
WN2066	-6.492960026031423
WN2068	-1.6967659943045197
WN2069	0.1744449684771083
WN2082	3.0189599691097193
WN2086	-1.438038259042824
WN2107	0.8279587843521616
WN2117	-5.071344936758614
XZ1672	4.896838590686849
XZ1734	-4.044270044182247
XZ1735	-6.141613226434938
XZ1756	-5.545391570729662
XZ2018	-2.829399946135953
XZ2020	7.515594960979692
