Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
AF16	UNKNOWN		UNKNOWN	39233897	38586934	21038839	9.75196	36783319	2149319	164673	31297	11385	6644	5233	5102	3262	3403	3634	3564	3851	3984	4030	4121	4028	4213556	3386094	2535196	1809982	1233939	700863	440590	250376	125875	70377	
BRC20069	UNKNOWN		UNKNOWN	31860474	31789095	3662568	4.47158	30872415	906042	44734	8285	3568	2072	1723	1633	1739	1558	1755	1189	890	935	1021	1016	959	2544642	2126940	1625899	1199939	881952	492310	342963	211808	126772	74512	
BRC20073	UNKNOWN		UNKNOWN	226769145	226375806	26776153	4.14467	219252958	6870062	341217	60788	27940	16742	13498	13689	12904	11860	13492	10291	7732	7505	8209	8198	7771	19571185	16585558	13096222	9962051	7429556	4442329	3029847	1886928	1161877	682216	
BRC20075	UNKNOWN		UNKNOWN	40391060	39458858	4542658	1.92106	39030107	1251887	69806	12796	5674	3331	1816	1076	1090	915	1194	901	533	611	549	523	553	3462628	2894902	2266307	1695562	1237026	764916	521786	335334	212061	145268	
BRC20077	UNKNOWN		UNKNOWN	32658470	32526869	3841538	7.44542	31553207	985605	50824	9236	4872	3935	3747	3488	3604	3667	5010	3285	1974	1840	2014	2241	1633	3085405	2618545	2078458	1568273	1157197	712353	470846	292725	179555	105636	
BRC20081	UNKNOWN		UNKNOWN	36168249	35971350	4608417	2.90311	34912245	1148464	65657	12034	5005	2974	1692	1353	1351	1275	1429	1116	903	890	882	983	1042	3133951	2646100	2081272	1574995	1159774	711692	480438	298578	181946	108116	
BRC20085	UNKNOWN		UNKNOWN	40021582	39652669	4900913	3.37119	38691645	1218254	62383	11201	4858	2928	1937	1719	1699	1450	1326	1283	1315	1308	1340	1394	1165	3563564	2979685	2319011	1721918	1249222	760851	498008	307950	187256	110502	
BRC20088	UNKNOWN		UNKNOWN	39965674	39754794	5296090	6.49801	38740201	1112232	52803	10375	4990	3116	2775	2975	3080	3106	3130	2170	1490	1676	1754	1909	1884	3179695	2656190	2027684	1494141	1109926	616383	425029	261520	156319	93930	
BRC20089	UNKNOWN		UNKNOWN	33713493	33655082	3863612	2.81789	32564141	1059560	55758	9470	3810	2078	1494	1213	1276	1083	1107	879	973	920	967	916	730	2972895	2503479	1965277	1471604	1073193	655604	445632	278865	168144	98400	
BRC20090	UNKNOWN		UNKNOWN	29280094	29228126	3603075	3.88126	28344985	855006	43910	8788	3442	2015	1465	1220	1006	928	997	972	1062	1030	1016	1220	1065	2316890	1947115	1504655	1126289	838586	472936	331967	204063	124092	74113	
BRC20092	UNKNOWN		UNKNOWN	39379830	39279037	6198072	2.35213	37976317	1291676	71530	12925	5232	2572	1649	1362	1316	1185	1455	1011	621	663	722	711	652	3535883	2927960	2288522	1698874	1216023	779783	502474	312710	186135	101733	
BRC20093	UNKNOWN		UNKNOWN	30344136	30241530	3757501	5.33805	29445344	824329	38659	7611	3347	2700	1737	1518	1649	1627	1756	1617	1432	1259	1157	1224	932	2377638	1992597	1520990	1115841	828935	456103	323805	201499	123820	75256	
BRC20094	UNKNOWN		UNKNOWN	37185605	37105679	5275212	1.23327	35893222	1194314	68165	12116	4522	2074	1075	720	681	496	490	484	354	379	394	381	423	3213346	2713154	2124986	1592300	1170026	714762	489471	312869	188785	108894	
BRC20095	UNKNOWN		UNKNOWN	39909819	39744312	4485042	2.30287	38578442	1227639	64031	11271	4711	2558	1592	1319	1122	1071	1047	974	955	907	911	898	871	3469781	2956139	2336062	1773132	1317810	799935	551666	348681	212991	126190	
BRC20096	UNKNOWN		UNKNOWN	31015167	30924556	3457126	6.50797	29971404	929173	45742	8095	3924	2634	2326	2056	1950	2093	2091	2116	2118	1973	2223	2433	2537	2736966	2311489	1810312	1362792	1003314	602536	407777	254575	155188	90180	
BRC20098	UNKNOWN		UNKNOWN	32428126	32372276	4494916	3.98477	31293028	1033811	54860	9456	3962	2408	1861	1526	1397	1395	1244	1300	1278	1257	1306	1255	1124	2817227	2332145	1819219	1359173	981583	607581	396543	245561	148053	84321	
BRC20099	UNKNOWN		UNKNOWN	45358291	45231341	5747332	5.47057	43937449	1289861	61398	11029	4993	3401	2640	2591	2355	2252	2360	2383	2269	2129	2434	2434	2372	3780426	3174009	2447158	1806991	1325442	760926	517449	318283	188020	108784	
BRC20100	UNKNOWN		UNKNOWN	26982307	26894819	2718900	7.61622	26098767	785879	37814	6675	3241	2257	2268	1966	2187	1950	2283	1991	2228	2188	2257	2414	2118	2346630	1986831	1546938	1159190	860326	511345	352425	221827	137774	81616	
BRC20102	UNKNOWN		UNKNOWN	62241569	62016272	6801237	3.84634	60164209	1895839	97928	18211	8080	4630	4021	3750	3103	2982	3152	2781	2707	2687	2605	2491	2080	5692967	4858118	3869445	2967392	2222252	1344060	911869	570591	349588	205153	
BRC20103	UNKNOWN		UNKNOWN	37149133	37083353	4585505	5.55489	35906445	1119236	55162	10025	4412	3188	2537	2709	2612	2679	2913	2459	1900	1916	2053	2080	2124	3355519	2851405	2253231	1710915	1268426	774593	519604	324138	195623	112008	
BRC20105	UNKNOWN		UNKNOWN	35155368	35067609	6130563	2.40342	33969668	1090376	56616	9847	3865	1828	1383	1242	1154	753	820	824	767	829	859	905	1068	3196932	2701776	2117181	1586110	1151090	706056	469906	290922	174135	100958	
BRC20107	UNKNOWN		UNKNOWN	41730621	41416100	5108217	1.81134	40262339	1351140	76043	13538	5623	2713	1603	1167	1126	877	769	660	643	600	662	722	719	3660199	3056660	2390515	1797419	1308219	814981	540914	341941	206105	120772	
BRC20115	UNKNOWN		UNKNOWN	33031201	28201527	3050788	1.24394	31934066	1010423	56081	10542	3977	1870	1234	770	800	836	708	705	712	578	519	479	513	2724730	2388573	1984928	1646184	1422792	1153271	1053823	895376	676849	436300	
BRC20119	UNKNOWN		UNKNOWN	42383677	42235332	5506403	2.84266	41024315	1257211	61243	11004	4586	2689	2054	1591	1516	1483	1594	1301	1053	915	928	987	897	3698875	3121325	2424786	1797274	1308731	779796	528868	328412	195411	114722	
BRC20228	UNKNOWN		UNKNOWN	33225309	26677595	2738105	1.33395	32163492	982856	50404	8768	3427	1882	1321	951	946	953	1050	878	664	692	696	685	450	2504638	2182513	1840422	1584469	1489876	1400423	1472119	1375904	1081335	679370	
BRC20229	UNKNOWN		UNKNOWN	35671805	35475562	3856654	2.00007	34438650	1133053	62937	11764	5301	3032	2105	1385	938	819	831	637	704	687	568	568	580	3179422	2651060	2088368	1575305	1146151	721523	476681	296238	173940	100007	
BRC20230	UNKNOWN		UNKNOWN	34818418	34657656	4482778	3.16495	33744834	986835	49464	8679	3384	1765	1310	1035	962	939	1037	905	810	894	1035	1249	1348	2806257	2361423	1810524	1348725	999139	563023	389156	242196	143188	87214	
BRC20232	UNKNOWN		UNKNOWN	29689020	29522772	3356195	3.17087	28714070	893508	45636	8806	3440	2114	1684	1431	1275	1187	1368	1003	698	664	688	780	882	2544354	2149482	1689180	1279941	953311	569603	392491	243555	145832	85768	
BRC20238	UNKNOWN		UNKNOWN	38536406	38301855	5846688	6.36855	37176052	1221821	65575	12218	5523	3897	3711	3408	3283	3645	5225	3488	1695	1535	1457	1581	1600	3559895	2959075	2319462	1738607	1248170	797728	509513	313435	188534	108577	
BRC20239	UNKNOWN		UNKNOWN	37966762	37740842	4386767	2.24964	36678848	1184677	64384	11956	5701	2843	2002	1430	1106	1145	1024	880	870	887	783	820	691	3388788	2870381	2276458	1738017	1278014	795375	539558	338299	203197	119288	
