Strain	LENGTH_ESTIMATE
AF16	9.75196
BRC20069	4.47158
BRC20073	4.14467
BRC20075	1.92106
BRC20077	7.44542
BRC20081	2.90311
BRC20085	3.37119
BRC20088	6.49801
BRC20089	2.81789
BRC20090	3.88126
BRC20092	2.35213
BRC20093	5.33805
BRC20094	1.23327
BRC20095	2.30287
BRC20096	6.50797
BRC20098	3.98477
BRC20099	5.47057
BRC20100	7.61622
BRC20102	3.84634
BRC20103	5.55489
BRC20105	2.40342
BRC20107	1.81134
BRC20115	1.24394
BRC20119	2.84266
BRC20228	1.33395
BRC20229	2.00007
BRC20230	3.16495
BRC20232	3.17087
BRC20238	6.36855
BRC20239	2.24964
BRC20241	5.13861
BRC20242	2.55412
BRC20244	4.63425
BRC20246	5.94001
BRC20257	2.52401
BRC20260	5.44827
BRC20270	2.63245
BRC20272	2.46686
BRC20289	3.45754
BRC20290	4.22693
BRC20294	6.25651
BRC20308	5.31828
BRC20309	7.13953
BRC20311	9.20673
BRC20312	4.92685
BRC20315	5.86533
BRC20320	3.06434
BRC20324	3.0365
BRC20331	7.2976
BRC20333	2.54454
BRC20334	4.11408
BRC20339	1.83658
BRC20341	4.09485
BRC20343	5.225
BRC20346	4.15284
BRC20347	4.11384
BRC20348	6.75234
BRC20353	2.94586
BRC20360	2.00631
BRC20361	1.91358
BRC20362	3.22273
BRC20366	4.41414
BRC20367	3.34548
BRC20369	6.93817
BRC20370	7.31969
BRC20388	3.54348
BRC20390	3.46936
BRC20401	5.46008
BRC20463	4.85557
BRC20492	4.60145
BRC20498	3.91736
BRC20499	2.9457
BRC20501	6.39611
BRC20502	3.28249
BRC20503	3.76291
BRC20519	4.22853
BRC20520	4.19079
BRC20522	3.85908
BRC20524	5.02752
BRC20529	3.55307
BRC20530	4.27009
BRC20531	2.60285
BRC20532	3.47302
BRC20533	2.52147
BRC20534	3.80829
BRC20535	3.31601
BRC20536	4.18626
BRC20537	6.24647
BRC20541	3.59797
BRC20543	5.24895
BRC20544	2.77735
BRC20545	3.55274
BRC20556	3.06607
BRC20557	3.33348
BRC20565	2.66749
BRC20571	4.68144
BRC20574	4.35497
BW287	5.66196
DF5100	4.1451
ECA1129	2.76679
ECA1143	4.91679
ECA1146	3.1998
ECA1147	4.12909
ECA1149	4.897
ECA1160	4.67969
ECA1164	3.64302
ECA1170	3.76199
ECA1174	3.7122
ECA1383	3.56698
ECA1411	7.47441
ECA1423	4.44357
ECA1429	6.04834
ECA1431	3.4665
ECA1437	2.68421
ECA1439	1.03149
ECA1443	2.26518
ECA1471	3.55622
ECA1489	2.81654
ECA1503	1.92803
ECA1507	2.78186
ECA1509	3.49052
ECA1517	2.68894
ECA1521	2.00608
ECA1555	3.83815
ECA1559	2.18537
ECA1563	4.74761
ECA1571	2.66684
ECA1587	3.9461
ECA1605	2.02629
ECA1609	4.31626
ECA161	4.24285
ECA1611	4.09986
ECA1615	3.70133
ECA162	3.72945
ECA1621	4.32703
ECA163	6.42224
ECA1637	5.73765
ECA1657	9.52145
