Strain	LENGTH_ESTIMATE
BRC20069	4.47158
BRC20073	4.14467
BRC20077	7.44542
BRC20089	2.81789
BRC20090	3.88126
BRC20093	5.33805
BRC20095	2.30287
BRC20096	6.50797
BRC20098	3.98477
BRC20099	5.47057
BRC20100	7.61622
BRC20102	3.84634
BRC20103	5.55489
BRC20228	1.33395
BRC20241	5.13861
BRC20242	2.55412
BRC20260	5.44827
BRC20294	6.25651
BRC20369	6.93817
BRC20401	5.46008
BRC20498	3.91736
BRC20556	3.06607
ECA1129	2.76679
ECA1143	4.91679
ECA1146	3.1998
ECA1149	4.897
ECA1160	4.67969
ECA1164	3.64302
ECA1170	3.76199
ECA1174	3.7122
ECA1411	7.47441
ECA1423	4.44357
ECA1429	6.04834
ECA1431	3.4665
ECA1437	2.68421
ECA1439	1.03149
ECA1471	3.55622
ECA1489	2.81654
ECA1503	1.92803
ECA1507	2.78186
ECA1509	3.49052
ECA1517	2.68894
ECA1521	2.00608
ECA1555	3.83815
ECA1559	2.18537
ECA1563	4.74761
ECA1571	2.66684
ECA1587	3.9461
ECA1605	2.02629
ECA1609	4.31626
ECA161	4.24285
ECA1611	4.09986
ECA1615	3.70133
ECA162	3.72945
ECA1621	4.32703
ECA1637	5.73765
ECA1657	9.52145
ECA1701	2.39716
ECA175	3.39136
ECA176	9.06328
ECA177	3.39065
ECA180	7.33007
ECA182	2.87333
ECA183	2.38187
ECA185	2.33033
ECA186	2.82836
ECA2083	9.89076
ECA2093	2.54708
ECA2115	3.62267
ECA2373	7.34849
ECA2425	4.45565
ECA2623	5.57551
ECA2625	2.77532
ECA2626	9.00906
ECA2636	7.73767
ECA2637	3.91252
ECA2663	4.0266
ECA2664	4.30147
ECA2667	3.63214
ECA2808	3.09293
ECA288	3.88202
ECA343	2.28501
ECA346	1.44171
ECA371	2.19194
ED3088	3.99303
EG5613	3.38601
EG6261	4.1986
EG6267	4.68008
EG6272	2.47678
EG6274	4.06436
EG6275	5.41052
EG6276	2.87497
GUN124	8.72713
JU1337	4.01698
JU1375	4.84455
JU1377	3.60235
JU1378	3.53138
JU1392	4.56143
JU1399	13.4578
JU1435	3.27695
JU1637	1.60712
JU1638	3.55334
JU1795	4.61783
JU1799	5.42982
JU1802	3.43675
JU1814	4.41291
JU1884	3.36773
JU1907	5.54437
JU1908	3.00056
JU1909	2.27685
JU2053	2.76047
JU2054	3.21875
JU2056	2.58392
JU2214	3.59679
JU2457	4.52206
JU2472	3.19831
JU2506	2.6398
JU2536	4.04753
JU2799	4.94122
JU2836	4.42282
JU2861	4.46175
JU2868	5.49183
JU3171	2.5472
JU3207	4.58257
JU3281	5.87974
JU3321	6.91496
JU3327	3.68085
JU4042	0.988202
JU4080	2.75231
MY2716	2.98886
MY539	4.99769
MY681	3.9006
NIC1050	3.15945
NIC1052	2.86238
NIC1054	5.35903
NIC1057	5.08905
NIC1058	1.96853
NIC1062	5.39934
NIC1069	3.17155
NIC1103	5.39694
NIC1104	7.55704
NIC1106	2.31163
NIC1117	2.70038
NIC115	5.38861
NIC117	3.25748
NIC119	4.96177
NIC1218	3.0608
NIC123	6.01013
NIC1267	4.05632
NIC1302	3.44416
NIC1421	4.80935
NIC1525	5.01654
NIC1528	5.32135
NIC1529	3.71805
NIC1533	1.83558
NIC1535	3.04866
NIC1628	2.99142
NIC1632	3.01583
NIC1688	4.69267
NIC17	3.63953
NIC174	5.06692
NIC187	3.71583
NIC188	4.55332
NIC191	6.45917
NIC248	1.09019
NIC250	3.07256
NIC309	3.71611
NIC325	8.05814
NIC327	4.3521
NIC330	8.52622
NIC331	3.65831
NIC343	4.05539
NIC392	4.16669
NIC402	0.994896
NIC532	2.73243
NIC549	4.82764
NIC552	5.68397
NIC555	4.73806
NIC561	2.95181
NIC574	2.56056
NIC578	3.56587
NIC583	2.84691
NIC593	2.50996
NIC60	5.6168
NIC61	4.23253
NIC62	7.42252
NIC777	5.10349
NIC790	4.91102
NIC793	1.85163
NIC795	4.73605
NIC796	3.73431
NIC802	4.11836
NIC803	5.14893
NIC811	3.44398
NIC821	5.10537
NIC871	3.77213
NIC883	3.15294
NIC901	2.58629
NIC911	4.08025
NIC96	2.65347
NIC984	3.82862
PE887	2.50861
QG1005	6.71473
QG1007	5.81135
QG1111	5.06663
QG1126	4.42476
QG1141	9.01707
QG130	5.5527
QG132	7.26496
QG2648	11.673
QG2659	6.28156
QG2663	5.53488
QG2665	6.09843
QG2683	7.19497
QG2736	2.79549
QG2814	5.1237
QG2820	7.36445
QG2848	5.48125
QG2881	5.85266
QG2883	6.8439
QG2964	4.12577
QG2966	7.67119
QG2969	3.79031
QG2972	8.7626
QG2996	6.71798
QG3004	2.80002
QG3019	4.70429
QG3025	4.53976
QG3030	9.06205
QG3032	3.92274
QG3034	7.96956
QG3041	8.6728
QG3053	2.9827
QG3056	6.89087
QG3058	3.70426
QG3527	7.08259
QG3783	4.45774
QG3801	1.66783
QG3815	2.2959
QG3816	1.824
QG3823	9.8789
QG3825	4.66879
QG3826	3.17864
QG3837	5.85909
QG3851	2.00787
QG3861	2.75704
QG3867	2.52643
QG3874	1.88628
QG3875	4.94086
QG3876	1.5667
QG3878	2.63108
QG3923	8.10175
QG3924	5.85934
QG3925	6.3768
QG3926	3.52864
QG3927	8.96513
QG3931	7.98816
QG3932	4.33461
QG3933	10.0898
QG4070	2.87404
QG588	4.76259
QG700	4.99906
QG727	5.03513
QG733	3.17873
QG737	5.47994
QG739	5.26839
QG761	4.81885
QG763	10.9815
QG776	3.65739
QG781	2.81169
QG786	6.70301
QG788	3.4702
QG790	4.49692
QG795	5.40115
QG797	3.37121
QG802	3.07052
QG804	6.41337
QG806	4.4529
QG807	3.9883
QG809	3.2561
QG825	6.41673
QG827	2.25791
QG828	6.07151
QG833	4.1097
QG856	7.45658
QG858	4.32241
QG860	3.63011
QG864	6.33252
QG865	5.91772
QG866	4.30538
QG868	5.3386
QG874	6.20586
QG875	14.7278
QG878	6.61742
QG879	6.02898
QG881	2.61978
QG887	6.55351
QG888	10.3478
QG926	6.74401
QG927	10.7535
QG933	12.5886
QG937	7.59752
QG945	8.51711
QG946	9.60877
QG947	5.33963
QG948	9.51419
QG952	12.3856
QG978	5.60437
QG980	1.60161
QG986	5.38165
QG991	3.31987
QG994	8.36916
QG995	4.64984
QG997	3.51489
QG998	9.63733
QX1410	4.86747
QX1795	7.61133
QX1796	4.73045
QX1800	4.83
QX1801	2.60861
QX1802	3.57127
QX1803	3.65786
QX1804	3.98474
VT847	2.84265
XZ1207	2.88943
XZ1210	4.04581
XZ1212	4.63834
XZ1213	3.79116
XZ1731	4.30551
XZ1732	3.78492
ZZY405	3.96677
