Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
AB1	UNKNOWN		UNKNOWN	85093001	84572866	6233863	12.6072	82721771	1718329	158945	117433	103161	83035	59626	36335	18851	8909	4239	3598	3775	7466	28974	18554	0	3995894	7469230	6246862	4909798	3654630	1363671	1996666	1225969	777836	482094	
BBA2	UNKNOWN		UNKNOWN	63896870	63654235	13301738	7.93717	62027369	1631647	78624	35991	25810	19317	15231	10979	8273	5982	4037	2962	2363	2058	1899	1869	1818	4389610	3707486	2900428	2170218	1626017	950043	662618	413695	254280	159482	
BRC20067	UNKNOWN		UNKNOWN	38830124	35924186	1177880	8.12465	37844406	823103	47263	27248	20491	15271	11167	7623	4524	2649	1821	1473	1446	1670	2370	4068	13531	2825492	2496258	2084199	1696459	1369510	1083653	878890	731070	596516	470435	
BRC20263	UNKNOWN		UNKNOWN	51156910	48997208	2529388	8.76885	49846934	1107283	65294	35018	24977	18399	13200	8193	4875	2409	1397	904	988	1373	2459	5192	18015	3541294	3032551	2462426	1914435	1447375	1081155	756874	525175	348015	226308	
CB4852	UNKNOWN		UNKNOWN	204257293	203305982	18672197	11.7496	198869637	4123580	328584	224536	185645	141294	97207	55295	31481	17389	10286	11365	13321	23223	74598	49852	0	9518499	17060924	14342669	11342763	8566043	3249923	4665809	2842749	1849892	1151381	
CB4854	UNKNOWN		UNKNOWN	51141783	50877091	2013063	11.9156	49730804	1036266	93083	69389	60155	47014	32494	19315	10363	5591	3093	3043	3742	6075	13568	7788	0	2366734	4288595	3615769	2866554	2143579	804812	1164405	712668	443722	265394	
CB4856	UNKNOWN		UNKNOWN	86665246	85325093	4986144	17.5523	84112546	1758672	171937	140402	118912	95315	69576	42136	22912	11752	7745	7805	9418	14502	46391	30206	5019	4568630	7203451	6161185	4964429	3852277	1605032	2036368	1276287	805639	485998	
CB4932	UNKNOWN		UNKNOWN	60846207	60568121	2828471	13.9686	59209637	1220943	98134	71496	61879	48573	33511	19338	10325	5354	3155	3688	4447	8952	28440	18335	0	2807205	5084139	4289215	3406581	2575719	960110	1387624	841862	530165	315509	
CX11254	UNKNOWN		UNKNOWN	63153332	62142694	2449805	19.6723	61410946	1265963	103987	74552	61784	47474	32999	19944	12339	10950	5628	6595	7767	14368	46474	31562	0	2939544	5247538	4459415	3597005	2781216	1048159	1508863	936517	595593	360484	
CX11262	UNKNOWN		UNKNOWN	49980095	49383844	2098903	14.3734	48705524	1011400	71199	44417	33675	24643	16964	10172	5376	3351	2816	3677	4805	8461	21700	11915	0	2105193	3742773	3078968	2399472	1776408	657564	967712	601452	373477	224673	
CX11264	UNKNOWN		UNKNOWN	72012804	71205697	4548000	55.2792	69481757	1487691	140789	111575	96560	78010	57139	36752	32668	18709	16984	25680	31273	62371	204646	130200	0	3490620	6363161	5450672	4369514	3601037	1296382	1867137	1091960	686137	400407	
CX11271	UNKNOWN		UNKNOWN	50620213	50364983	1662192	24.8251	49353750	994901	60816	35166	25217	17649	11149	6544	5091	4550	4924	7101	8944	15331	43630	25450	0	2110416	3686027	3002395	2318326	1738539	631827	894923	534519	323047	185705	
CX11276	UNKNOWN		UNKNOWN	60715890	60007193	3928499	15.9932	58999174	1223007	112296	84815	73699	58674	42677	25914	13460	6340	3429	3388	4624	9856	33046	21491	0	2825374	5165432	4382756	3496569	2682536	996288	1467814	898182	576924	344112	
CX11285	UNKNOWN		UNKNOWN	109858165	108608028	7173234	9.86397	107225209	2160379	137988	83608	63386	46609	31358	17819	8951	4346	2476	2544	3536	9378	35803	24775	0	4695566	8347802	6866517	5334667	3938513	1441304	2085722	1285567	791201	463445	
CX11292	UNKNOWN		UNKNOWN	54126115	53710287	2062770	45.4637	52417590	1091125	93868	66802	56299	42643	30289	18826	16726	15585	16408	22159	26447	45703	107935	57710	0	2546121	4559708	3897551	3113745	2525556	961369	1393536	851023	541142	335650	
CX11307	UNKNOWN		UNKNOWN	70416010	69733388	3433649	9.08195	68574769	1426347	113971	77709	64773	49994	34024	19780	10031	4940	2392	2505	2976	5631	15959	10209	0	3272204	5959694	5023724	3960757	2897195	1069474	1539727	936885	576196	342465	
CX11314	UNKNOWN		UNKNOWN	71719826	71001190	3086069	31.5339	69723038	1438790	104561	66372	52062	38660	26447	16005	11723	8732	6854	11466	14047	28388	100995	71686	0	3223886	5730256	4820623	3833840	3033086	1109923	1604793	962095	602993	351972	
CX11315	UNKNOWN		UNKNOWN	61729925	60998746	5094361	68.699	59536446	1244746	116253	89374	76474	62769	48133	31641	18595	12111	10003	11872	20307	49199	236644	165358	0	2775038	5111609	4301325	3398344	2931796	983918	1418376	862583	539918	319370	
DL200	UNKNOWN		UNKNOWN	44193977	43883831	1399660	8.95014	43104732	886643	59420	37406	28802	20891	13683	7786	4105	2289	1224	1173	1479	3301	12367	8676	0	1939274	3448319	2867677	2247361	1671648	621510	893809	551277	337722	199077	
