Strain	LENGTH_ESTIMATE
AB1	12.6072
BBA2	7.93717
BRC20067	8.12465
BRC20263	8.76885
CB4852	11.7496
CB4854	11.9156
CB4856	17.5523
CB4932	13.9686
CX11254	19.6723
CX11262	14.3734
CX11264	55.2792
CX11271	24.8251
CX11276	15.9932
CX11285	9.86397
CX11292	45.4637
CX11307	9.08195
CX11314	31.5339
CX11315	68.699
DL200	8.95014
DL226	9.73872
DL238	67.837
ECA1069	9.83537
ECA1074	7.41994
ECA1185	10.9784
ECA1186	12.4964
ECA1187	11.658
ECA1191	11.4696
ECA1192	11.6031
ECA1193	11.0096
ECA1194	12.5011
ECA1195	11.6347
ECA1196	12.0609
ECA1200	13.4911
ECA1202	11.1177
ECA1206	10.5526
ECA1208	12.7644
ECA1212	10.9512
ECA1216	10.9099
ECA1223	10.7758
ECA1225	10.5468
ECA1228	11.2881
ECA1229	10.527
ECA1232	12.5799
ECA1237	11.1824
ECA1238	12.1407
ECA1240	12.4603
ECA1242	10.7142
ECA1243	12.2159
ECA1247	14.4198
ECA1251	12.8005
ECA1252	13.2804
ECA1253	11.2742
ECA1255	12.4824
ECA1257	10.4199
ECA1260	12.7636
ECA1261	12.0178
ECA1269	10.1661
ECA1271	12.312
ECA1276	9.99882
ECA1278	10.6741
ECA1281	13.1442
ECA1283	15.0134
ECA1284	15.2994
ECA1286	12.0484
ECA1287	12.8543
ECA1288	13.3945
ECA1289	12.4019
ECA1293	11.2072
ECA1298	13.0956
ECA1316	17.9139
ECA1409	8.57026
ECA1413	11.0986
ECA1493	9.85271
ECA1693	26.8278
ECA1713	13.6218
ECA1717	14.9616
ECA1725	9.77697
ECA1751	35.5746
ECA1757	10.8515
ECA1761	10.0335
ECA1769	18.577
ECA1793	11.4859
ECA1805	24.972
ECA1807	16.0698
ECA1815	18.6245
ECA1821	17.6461
ECA1825	29.9899
ECA1843	7.99869
ECA1851	24.7516
ECA1853	15.7629
ECA1875	31.9562
ECA1885	12.9949
ECA1887	12.0959
ECA1889	13.2663
ECA1891	11.6396
ECA189	23.986
ECA1901	19.6539
ECA191	14.6989
ECA1919	16.7937
ECA1925	16.7622
ECA1937	19.1998
ECA1939	38.9507
ECA1943	30.2776
ECA1969	10.6789
ECA1977	12.4751
ECA1997	22.0081
ECA2041	16.576
ECA2043	19.1728
ECA2073	21.8319
ECA2081	24.7381
ECA2091	12.5258
ECA2109	13.0729
ECA2111	10.3168
ECA2151	13.0255
ECA2155	13.8186
ECA2159	13.1183
ECA2183	9.44832
ECA2187	11.2969
ECA2191	11.0126
ECA2195	8.57025
ECA2199	15.129
ECA2251	34.1787
ECA2281	13.0871
ECA2291	10.0574
ECA2332	26.7769
ECA2334	30.4698
ECA2336	10.487
ECA2344	23.496
ECA2350	16.395
ECA2360	11.5418
ECA2367	7.55874
ECA2377	11.8482
ECA2417	14.3813
ECA243	19.5163
ECA2437	13.4608
ECA2443	10.5762
ECA2452	11.4073
ECA245	9.44303
ECA246	11.6158
ECA2467	15.7894
ECA2473	13.4579
ECA2475	10.0796
ECA2481	14.8805
ECA2482	13.1001
ECA248	51.9846
ECA2489	14.0645
ECA249	15.1478
ECA250	20.4193
ECA251	42.6005
ECA2522	14.6541
ECA2523	12.5113
ECA2527	14.8662
ECA2529	18.146
ECA2533	15.7165
ECA2536	16.4066
ECA2546	11.3509
ECA2549	12.3276
ECA2551	10.5303
ECA2554	11.4245
ECA2555	11.1493
ECA2559	15.0765
ECA2560	11.7817
ECA2561	10.326
ECA2565	11.6045
ECA2568	11.4974
ECA2581	15.5903
ECA2583	12.3339
ECA2584	12.3577
ECA259	20.4546
ECA2594	11.2831
ECA2595	10.1591
ECA2601	18.7119
ECA2602	16.4929
ECA2603	9.92911
ECA2607	16.996
ECA2609	14.7252
ECA2612	31.6963
ECA2615	10.7702
ECA2641	10.8217
ECA2648	16.428
ECA2656	36.3227
ECA2659	16.0367
ECA2660	11.3911
ECA2672	11.2061
ECA2676	10.0956
ECA2861	11.8119
ECA2862	13.2236
ECA2872	16.5645
ECA2882	11.8044
ECA2885	18.0291
ECA2888	14.6682
ECA2897	11.1267
ECA2929	8.69957
ECA2941	7.81826
ECA2942	10.1171
ECA2944	11.6939
ECA2945	8.68442
ECA2946	10.1888
ECA2947	7.97971
ECA2948	8.89105
ECA2949	7.997
ECA2950	9.63533
ECA2951	10.2454
ECA2952	10.9043
ECA2956	10.511
ECA2960	12.5939
ECA2963	9.04291
ECA2968	11.4659
ECA2970	10.3416
ECA2974	9.46933
ECA2982	12.6434
ECA2988	11.473
ECA2993	10.5301
ECA3005	9.29015
ECA3006	10.5001
ECA3011	9.75666
ECA3012	10.4027
ECA3025	15.2339
ECA3027	10.4908
ECA3034	7.3486
ECA3035	8.19542
ECA3038	13.1795
ECA3047	19.7977
ECA3049	10.4803
ECA3057	13.5084
ECA3072	14.3541
ECA3075	11.3043
ECA3077	10.4691
ECA3088	6.39977
ECA3116	11.7294
ECA3117	7.59189
ECA3157	12.8802
ECA3205	13.1071
ECA3222	9.64564
ECA3256	9.88545
ECA347	15.7232
ECA348	27.5823
ECA349	32.2981
ECA3493	9.07282
ECA3494	14.1339
ECA3496	9.21485
ECA3497	9.41223
ECA3516	11.1339
ECA3518	10.2548
ECA3524	9.48775
ECA3535	13.5766
ECA3538	11.2028
ECA3601	11.3136
ECA3605	11.687
ECA3606	10.9387
ECA36	25.2742
ECA363	11.873
ECA3634	10.9319
ECA3645	15.3894
ECA3654	11.4179
ECA3656	10.7688
ECA3668	8.72594
ECA3671	11.4254
ECA3672	9.29177
ECA3673	10.9072
ECA3678	12.3943
ECA3688	13.1104
ECA369	56.111
ECA3698	9.41445
ECA3699	10.2344
ECA372	15.0331
ECA396	13.4055
ECA592	5.25483
ECA593	22.1721
ECA594	8.57122
ECA640	19.9169
ECA701	12.4176
ECA703	25.2379
ECA705	12.3175
ECA706	10.4368
ECA710	10.85
ECA712	17.4746
ECA722	9.16716
ECA723	11.3566
ECA724	12.9049
ECA730	15.6964
ECA732	11.3871
ECA733	12.7021
ECA738	11.0505
ECA740	3.82979
ECA741	8.65036
ECA742	9.12018
ECA743	11.1639
ECA744	13.0972
ECA745	10.1864
ECA746	15.1596
ECA760	15.5753
ECA768	8.63125
ECA777	16.6177
ECA778	19.6444
ECA807	14.7865
ECA812	12.1211
ECA923	8.82823
ECA928	25.3666
ECA930	19.8542
ED3005	9.25982
ED3011	52.312
ED3012	31.2635
ED3017	18.715
ED3040	10.3531
ED3046	17.7966
ED3048	14.4177
ED3049	40.6747
ED3052	6.1329
ED3073	12.353
ED3077	9.86393
EG4347	22.5561
EG4349	7.25616
EG4724	27.2113
EG4725	15.038
EG4946	18.2082
GXW1	8.77289
HPT48	14.2734
JR4305	16.1622
JT11398	38.707
JU1088	19.6503
JU1172	22.1452
JU1200	16.9769
JU1212	12.4191
JU1213	12.6764
JU1242	9.22731
JU1246	10.2096
JU1249	12.438
JU1256	7.87268
JU1395	10.9748
JU1400	6.28331
JU1409	14.3814
JU1440	7.8476
JU1491	10.0172
JU1530	17.0396
JU1543	14.9619
JU1568	12.6199
JU1581	13.7845
JU1586	15.9462
JU1652	18.6843
JU1666	6.04706
JU1792	9.34014
JU1793	9.28984
JU1808	11.2778
JU1896	14.7048
JU1934	7.52799
JU2001	8.37427
JU2007	5.3482
JU2016	14.2783
JU2017	5.70507
JU2106	6.79533
JU2131	8.01899
JU2141	6.64379
JU2234	17.0104
JU2250	3.62024
JU2257	6.98901
JU2316	5.26374
JU2464	13.945
JU2466	9.40509
JU2478	15.9448
JU2513	7.59349
JU2519	7.66367
JU2522	9.78686
JU2526	5.74393
JU2534	24.1996
JU2565	15.2575
JU2566	10.1708
JU2570	5.78121
JU2572	15.3933
JU2575	4.85453
JU2576	31.546
JU2578	6.26007
JU2581	9.6181
JU258	28.9108
JU2586	19.7486
JU2587	20.0364
JU2592	15.0065
JU2593	11.9664
JU2600	13.923
JU2610	11.1242
JU2619	5.01963
JU2771	10.452
JU2800	5.07574
JU2811	8.17152
JU2825	15.474
JU2829	4.61478
JU2838	6.21924
JU2841	5.03016
JU2853	8.44483
JU2862	7.26444
JU2866	7.96454
JU2878	9.43078
JU2879	6.51166
JU2906	13.453
JU2907	10.4491
JU310	6.75886
JU311	8.07469
JU3125	11.8793
JU3127	14.2667
JU3128	10.0148
JU3132	8.20751
JU3134	14.7625
JU3135	11.0092
JU3137	22.2027
JU3140	8.60908
JU3141	10.3604
JU3144	10.0227
JU3166	4.79686
JU3167	4.71381
JU3169	4.21516
JU3224	10.7758
JU3225	12.5131
JU3226	17.0768
JU3228	17.2646
JU323	7.37528
JU3280	10.4514
JU3282	8.18857
JU3291	9.69542
JU3318	14.6093
JU346	21.553
JU360	20.5503
JU367	8.09491
JU3795	11.6553
JU393	10.5171
JU394	20.6049
JU397	9.44324
JU4047	9.46884
JU406	8.79729
JU4073	13.288
JU4082	9.96027
JU4098	14.2369
JU4161	11.162
JU4286	6.84715
JU4287	6.155
JU4370	8.86282
JU4377	9.04866
JU4381	4.9153
JU4382	8.41686
JU4383	8.70304
JU4384	9.47622
JU4385	9.08859
JU4400	9.18065
JU4401	8.9309
JU440	8.64918
JU561	10.4629
JU642	8.22493
JU751	11.7783
JU774	9.18529
JU775	42.2036
JU778	15.3569
JU782	10.5696
JU792	7.67936
JU830	15.2659
JU847	27.611
KR314	46.0697
LKC34	24.4131
LUA56	12.5772
LUA57	14.3382
LUA59	10.5954
LUA93	10.4164
MY10	11.7368
MY1	17.7314
MY16	29.9488
MY18	11.4203
MY2147	12.7576
MY2212	15.0648
