strain	TELOMERE_LENGTH
AB1	12.6072
BRC20067	8.12465
BRC20263	8.76885
CB4852	11.7496
CB4854	11.9156
CB4932	13.9686
CX11254	19.6723
CX11262	14.3734
CX11264	55.2792
CX11271	24.8251
CX11276	15.9932
CX11285	9.86397
CX11292	45.4637
CX11307	9.08195
CX11314	31.5339
CX11315	68.699
DL200	8.95014
DL226	9.73872
ECA1069	9.83537
ECA1074	7.41994
ECA1255	12.4824
ECA1316	17.9139
ECA1889	13.2663
ECA1901	19.6539
ECA245	9.44303
ECA249	15.1478
ECA251	42.6005
ECA2522	14.6541
ECA2527	14.8662
ECA2529	18.146
ECA2533	15.7165
ECA2536	16.4066
ECA2546	11.3509
ECA2549	12.3276
ECA2551	10.5303
ECA2554	11.4245
ECA2555	11.1493
ECA2559	15.0765
ECA2560	11.7817
ECA2565	11.6045
ECA2568	11.4974
ECA2583	12.3339
ECA2584	12.3577
ECA259	20.4546
ECA2594	11.2831
ECA2602	16.4929
ECA2603	9.92911
ECA2607	16.996
ECA2609	14.7252
ECA2615	10.7702
ECA2641	10.8217
ECA2648	16.428
ECA2656	36.3227
ECA2672	11.2061
ECA2676	10.0956
ECA349	32.2981
ECA592	5.25483
ECA640	19.9169
ECA738	11.0505
ECA743	11.1639
ECA923	8.82823
ECA930	19.8542
ED3005	9.25982
ED3011	52.312
ED3012	31.2635
ED3017	18.715
ED3040	10.3531
ED3046	17.7966
ED3048	14.4177
ED3049	40.6747
ED3052	6.1329
ED3073	12.353
ED3077	9.86393
EG4347	22.5561
EG4349	7.25616
EG4724	27.2113
EG4725	15.038
EG4946	18.2082
GXW1	8.77289
JT11398	38.707
JU1088	19.6503
JU1172	22.1452
JU1200	16.9769
JU1212	12.4191
JU1213	12.6764
JU1242	9.22731
JU1246	10.2096
JU1249	12.438
JU1395	10.9748
JU1400	6.28331
JU1409	14.3814
JU1440	7.8476
JU1491	10.0172
JU1530	17.0396
JU1543	14.9619
JU1568	12.6199
JU1581	13.7845
JU1586	15.9462
JU1652	18.6843
JU1666	6.04706
