Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
BRC20391	UNKNOWN		UNKNOWN	74261045	73471635	6009102	13.7246	72206365	1747145	59483	20134	14804	13073	12478	11802	11526	11734	11636	11054	10343	9041	9035	8992	8874	7152365	5753734	4352781	3136889	2252268	1417041	918079	555185	349375	252623	
BRC20400	UNKNOWN		UNKNOWN	54625841	54064235	4173119	11.6623	53184539	1265299	38185	12086	9829	8092	7229	7135	6928	6748	6809	6169	5463	5034	4809	4766	4664	5091226	4025005	2996871	2134790	1494747	934402	600739	357949	220452	145674	
BRC20464	UNKNOWN		UNKNOWN	32532846	32102528	2429222	8.33148	31760618	658764	20658	6736	4920	4298	4082	3687	3564	3325	3191	3163	2962	2878	3154	3341	3599	3201297	2716865	2119539	1587012	1192579	716817	513498	326778	206315	141882	
BRC20548	UNKNOWN		UNKNOWN	42619499	42100518	3616625	8.53751	41587665	898042	26511	8621	6580	5536	5242	4720	4504	4111	4017	3677	3509	3347	3501	3794	3826	4106486	3394533	2588245	1896491	1383078	828478	572019	359224	228733	156751	
ECA1299	UNKNOWN		UNKNOWN	40670236	39757285	6719423	9.96463	39569079	941384	30370	9960	7516	6003	5072	4864	4637	4619	4578	4385	4188	3638	3657	3814	3868	3722938	3024550	2320265	1704629	1248196	804113	541305	334730	213316	143793	
ECA1300	UNKNOWN		UNKNOWN	40243171	39334732	6584971	9.34982	39163379	927515	30157	9931	7220	5993	5173	4576	4541	4582	4779	4189	4190	3725	3545	3538	3622	3766089	3079691	2376475	1749463	1289589	847920	585060	370807	237391	159516	
ECA1301	UNKNOWN		UNKNOWN	36666222	34592958	6800647	8.95815	35685187	838178	25135	7848	5960	4844	4529	4038	4279	4225	4359	4127	3980	3524	3611	3621	3648	3345425	2751234	2166427	1650416	1258215	871433	617362	397238	252746	162414	
ECA1302	UNKNOWN		UNKNOWN	32144975	31162876	6094984	8.40397	31325165	699469	23360	7750	5889	4644	3935	3527	3661	3456	3222	3051	2780	2520	2489	2719	2832	2995664	2478741	1910333	1415304	1067229	675537	494406	326264	210370	142037	
ECA1303	UNKNOWN		UNKNOWN	32770850	31502766	5309169	10.1344	31869068	762611	23456	7583	5634	4665	4224	3994	3964	4066	4049	3963	3709	3134	3364	3329	3592	3002387	2439263	1882876	1402076	1048116	726977	524168	351376	231576	155292	
ECA1304	UNKNOWN		UNKNOWN	38615920	37111401	8147398	9.02885	37623149	832243	25655	8743	6697	5282	4720	4495	4449	4267	4206	3726	3693	3224	3350	3811	4139	3576572	2959746	2278661	1694746	1283701	826483	602942	396736	252220	164229	
ECA1305	UNKNOWN		UNKNOWN	40410491	37435117	8109908	7.82616	39335872	905886	31275	10760	7723	6251	5337	4971	4882	4658	4424	4167	3993	3437	3473	3830	4165	3657612	3078102	2433295	1876588	1511252	1086503	883531	646502	442433	300922	
ECA1306	UNKNOWN		UNKNOWN	38608276	37498686	8046844	4.69117	37660499	865392	27864	8990	6030	4589	4313	3191	3045	2787	2666	1974	1534	1125	1200	1147	1088	3577744	2942993	2259608	1679716	1250822	787802	564466	365649	239826	167480	
ECA1307	UNKNOWN		UNKNOWN	36768677	35470054	7195663	9.22062	35792738	831105	27322	9143	6339	5275	4731	4293	4377	4199	3958	3606	3434	2907	3213	3467	3678	3320698	2734410	2107060	1564920	1177717	771615	562918	378077	246746	167670	
ECA1309	UNKNOWN		UNKNOWN	36927203	36081455	7949527	5.21776	36013072	832766	26717	8853	5917	4506	4134	3115	3048	2891	2626	1912	1511	1259	1039	1254	1095	3338630	2735360	2091373	1543619	1138247	693986	481240	302313	192893	137548	
ECA1310	UNKNOWN		UNKNOWN	31742383	31118698	5792935	5.15593	30938739	735038	23699	7633	4941	3599	3383	2430	2441	2263	2173	1602	1427	878	921	889	773	2845436	2294982	1738006	1270096	917506	565577	383106	233186	146889	101776	
ECA1311	UNKNOWN		UNKNOWN	44023632	41312510	8791665	7.16951	42914276	973388	29092	8968	6597	5436	4836	4672	4708	4165	4447	3630	3252	2722	2918	2965	3195	4282364	3605077	2809425	2091774	1542542	933550	632571	385696	235517	154680	
ECA1312	UNKNOWN		UNKNOWN	32415896	30041302	6064683	6.32959	31620364	702603	21897	6752	5020	4045	3710	3474	3511	2996	2997	2447	2205	1844	1840	1957	2244	2875721	2389544	1861144	1430889	1146654	804618	657255	485458	334358	224928	
ECA1313	UNKNOWN		UNKNOWN	39279269	37764738	6081675	7.62541	38296973	864669	29847	9585	6949	5751	5037	4434	4502	4118	3915	3255	2917	2491	2455	2445	2505	3539672	2954838	2285828	1702144	1293228	803949	586610	395009	277760	228173	
ECA1401	UNKNOWN		UNKNOWN	29587548	29057936	5398582	12.8988	28771442	663736	20743	6620	5077	4400	3760	3723	3748	3799	3655	3457	3411	3070	3076	3108	3456	2590753	2074556	1546643	1113654	800900	493904	336373	209241	130807	88491	
ECA1403	UNKNOWN		UNKNOWN	26766953	26299352	4449789	9.9644	26064929	596656	18435	5675	4331	3552	3124	2783	2832	2707	2707	2631	2394	1981	2102	2099	2257	2395909	1925836	1436804	1027526	736659	453181	308194	190109	118647	78915	
ECA1405	UNKNOWN		UNKNOWN	49098240	48167340	8751903	10.9685	47767691	1100292	34317	10773	8225	6939	6057	5667	5706	5799	5458	5338	5400	4562	4839	5002	5445	4586558	3705963	2791243	2016210	1446676	901826	608750	376765	234291	156239	
ECA1445	UNKNOWN		UNKNOWN	32891084	32135276	5226467	8.49995	32031089	738840	21904	6910	4705	4019	3646	3256	3271	3062	3207	2632	2458	2154	2114	2313	2396	2936761	2366592	1778775	1296957	941517	588288	409475	260468	167894	114697	
ECA1447	UNKNOWN		UNKNOWN	33701486	33057773	5997787	8.27368	32815059	771283	24012	7601	5316	4252	3855	3317	3393	3226	3039	2644	2516	1999	2108	2171	2307	3046734	2450542	1848060	1342793	962024	601252	409615	256739	162457	110770	
ECA1449	UNKNOWN		UNKNOWN	29317415	28873695	4879816	10.1218	28536250	659629	19403	6172	4371	3657	3550	3029	3022	3043	3201	2758	2499	2171	2245	2275	2484	2632856	2097810	1557743	1111212	792267	485902	327850	204657	129003	89151	
ECA1451	UNKNOWN		UNKNOWN	41828493	40980558	7585992	9.82516	40706449	950195	28932	9126	6613	5673	5146	4770	4618	4509	4637	4037	3716	3306	3226	3434	3745	3845941	3097765	2326179	1679076	1207829	762761	526308	334810	214378	148309	
ECA1453	UNKNOWN		UNKNOWN	26770005	17734731	2823412	4.52206	26104543	598170	15589	4692	3237	2534	2317	2120	1981	1988	1997	1670	1412	1222	1119	1198	1212	2074416	1775567	1426800	1121635	940001	764027	779641	818112	834897	808033	
ECA1481	UNKNOWN		UNKNOWN	38548232	38123002	6305562	8.68428	37541968	876493	27218	8879	6611	4747	4356	3864	3947	3641	3962	3119	2585	2267	2288	2369	2468	3515096	2805121	2091608	1493536	1059920	640695	425683	259217	161445	114143	
ECA1518	UNKNOWN		UNKNOWN	26803444	26438793	4354859	5.7855	26097530	638866	21493	7002	4471	3609	2972	2454	2522	2145	1809	1503	1359	1011	933	960	961	2455365	1990661	1521860	1113426	798818	511165	338540	207967	131259	92000	
ECA1579	UNKNOWN		UNKNOWN	33377153	32864262	7416869	6.01948	32570662	724877	23034	7333	5133	3893	3457	2687	2466	2324	2138	1752	1536	1266	1349	1552	1536	2925364	2372361	1777985	1286235	938539	557669	392081	250510	158739	107795	
ECA1581	UNKNOWN		UNKNOWN	46500771	42528484	9587805	6.32235	45416845	971999	28289	9139	6361	5089	4434	3551	3579	3081	2636	2301	2215	1843	2070	2070	2559	3866828	3135649	2350530	1697139	1233102	750262	551324	395113	321856	323746	
ECA1583	UNKNOWN		UNKNOWN	24004803	23763321	5413187	6.0348	23412954	534483	17388	5447	3543	2813	2582	2160	1912	1769	1490	1235	1140	926	865	935	1020	2144026	1739957	1307267	941302	677434	401567	272284	168566	105686	75964	
ECA1585	UNKNOWN		UNKNOWN	29195028	28877687	6071099	6.03728	28463656	661398	21719	7247	4676	3494	3269	2615	2446	2280	1886	1556	1345	1035	956	1035	1057	2591986	2098039	1573107	1133042	813725	486044	328778	203354	127870	93074	
ECA1599	UNKNOWN		UNKNOWN	26307326	25869780	5515826	6.28561	25628061	606260	22191	7344	5018	3480	3081	2645	2549	2294	2088	1531	1386	1003	1086	1129	1249	2378833	1967169	1508034	1110455	816072	490028	333102	205312	134747	123027	
ECA1603	UNKNOWN		UNKNOWN	131756777	30847933	3296141	4.45264	130007910	1628307	51696	9438	7102	5602	4995	4222	4049	3665	3536	2910	2245	1850	1773	1676	1481	2993450	2551752	2099616	1729504	1556398	1423091	1566212	1999879	3043182	5267675	
ECA2087	UNKNOWN		UNKNOWN	20103879	19795785	3375362	7.91252	19587916	451355	16226	5513	3848	2974	2637	2317	2395	2144	2131	1607	1400	1225	1176	1198	1229	1814397	1502059	1154852	859070	642788	386319	268886	170167	108515	81423	
ECA2898	UNKNOWN		UNKNOWN	24313235	23818120	3465482	5.43416	23706108	551021	18034	5952	4100	3046	2760	2293	2197	1989	1750	1441	1128	889	873	776	785	2169609	1802765	1398723	1039871	780023	477833	334898	210342	136177	101860	
ECA2899	UNKNOWN		UNKNOWN	22992998	22596959	3681093	5.02234	22424570	518937	17033	5428	3885	2802	2438	2046	2086	1691	1582	1239	1037	711	671	632	617	2081249	1723094	1329275	984463	734032	452611	315949	200619	127116	89429	
ECA2900	UNKNOWN		UNKNOWN	36646775	36022373	6044512	5.26493	35735874	826273	30042	10028	6847	4967	4350	3419	3258	2806	2487	1986	1641	1179	1036	1035	959	3186103	2647242	2037919	1513775	1141721	679244	482394	306718	196430	144165	
ECA2909	UNKNOWN		UNKNOWN	36845627	36314796	5479171	12.1377	35835656	842616	31062	9813	7365	6232	5909	5633	5475	5627	5449	5042	4752	4212	4051	4219	4482	3429560	2861851	2205576	1622613	1213863	737969	506094	314620	200446	149764	
ECA2910	UNKNOWN		UNKNOWN	24549790	24226801	3834045	5.10024	23940917	554985	19508	6380	4309	3181	2765	2176	2205	1845	1655	1254	1003	747	788	655	624	2222199	1838475	1409111	1037183	765965	463295	319907	201417	126424	91485	
ECA2920	UNKNOWN		UNKNOWN	166888466	57896817	9879182	1.29761	163862192	2885729	63354	12838	8446	6352	5497	4302	4153	3751	3611	2751	2182	1719	1657	1663	1565	5803319	5199916	4689622	4481494	4894407	5309690	6933223	8795333	11039597	13572735	
ECA2954	UNKNOWN		UNKNOWN	37700752	37110706	3520652	24.5862	36846336	618339	19995	7514	6926	7593	8629	9158	9946	10779	11257	11119	11136	10731	10759	10546	10511	3105977	2722830	2138286	1636259	1359084	726723	551246	365918	235990	177044	
ECA2955	UNKNOWN		UNKNOWN	36316982	35745588	3581907	21.4903	35467984	627610	20823	7680	6461	6895	7794	7744	8649	8851	9048	9263	8984	9033	9275	9504	9279	3027210	2643540	2075765	1583769	1306478	712395	537130	353521	230276	173291	
ECA2976	UNKNOWN		UNKNOWN	52766020	51958315	10593255	12.9905	51318911	1142890	37590	11452	8775	7471	7354	6840	6673	6469	6964	6702	6801	6355	7331	8294	9486	4794396	3993001	3070412	2258642	1672908	1006814	689427	428448	268532	193112	
ECA3053	UNKNOWN		UNKNOWN	111152831	109429448	3736280	9.47239	108744460	2010266	68934	23875	18338	15327	15065	13542	13543	13247	14134	13192	13688	12334	12386	12868	12870	9820840	8712658	6951209	5357904	4301506	2433948	1858282	1240585	802323	579900	
ECA788	UNKNOWN		UNKNOWN	27486159	26981492	1857861	11.4082	26858017	533353	16670	5556	4418	3810	3596	3230	3474	3496	3537	3307	3281	3232	3288	3318	3347	2434459	2049641	1574998	1170175	903356	518495	382152	245447	156059	107312	
ECA789	UNKNOWN		UNKNOWN	21891775	21575888	1451926	14.7736	21395053	409152	13191	4646	3809	3247	3215	3133	3358	3463	3438	3481	3601	3612	3436	3457	3334	1881645	1594681	1228437	918095	718261	406010	297203	190885	120349	82710	
ECA790	UNKNOWN		UNKNOWN	35110113	34792751	2543074	12.1945	34305076	676433	21908	7798	5904	5260	5128	4804	4729	4779	4825	4477	4486	4448	4552	4622	4431	3157911	2669739	2053598	1520956	1169598	662438	480810	308389	196976	138913	
ECA791	UNKNOWN		UNKNOWN	29486350	29106718	2013422	11.0708	28800371	587258	18425	6024	4736	3969	3881	3832	3487	3501	3537	3398	3231	3228	3119	3247	3288	2617782	2189998	1675872	1239158	942609	538231	389550	250125	160245	114203	
ECA792	UNKNOWN		UNKNOWN	28816449	28457467	2161396	11.7159	28150079	567091	18208	6195	4845	4255	4012	3900	3851	3815	3597	3609	3491	3303	3303	3406	3261	2552595	2146098	1648888	1223706	938356	529863	384964	246234	156793	111107	
ECA793	UNKNOWN		UNKNOWN	26778804	25896451	5299406	12.8935	26003639	616888	21508	6417	4600	4345	4266	3948	4026	4061	4256	3893	3933	3544	3637	4022	4293	2537681	2083236	1602952	1184564	896881	590304	425783	286170	196097	153742	
ECA794	UNKNOWN		UNKNOWN	34844311	34375033	6779000	11.5145	33926209	769331	25268	8019	5760	5343	4778	4561	4387	4518	4376	3719	3497	3451	3713	3960	4258	3218326	2637269	1990746	1439960	1056380	643674	444036	281421	186040	139035	
ECA796	UNKNOWN		UNKNOWN	37849040	37347113	8044823	8.82316	36895372	826365	26137	7967	5912	4883	4450	4114	4060	3942	4273	3326	3120	2557	2621	2759	2922	3566055	2912684	2202001	1593811	1155423	693105	473726	294805	188117	131396	
ECA797	UNKNOWN		UNKNOWN	32948078	32475212	6446559	8.12114	32114263	724624	25139	8021	5788	4542	4337	3736	3864	3751	3830	2938	2792	2115	1997	2177	2397	3208674	2651943	2029123	1483853	1099471	664649	452455	286286	190851	156123	
ECA798	UNKNOWN		UNKNOWN	39426641	38842046	8896277	8.37506	38411920	888747	30648	9940	7054	5716	5207	4832	4959	4365	4523	3467	2953	2337	2433	2500	2584	3724149	3053017	2327354	1696339	1253096	767103	522421	328374	222127	183887	
ECA799	UNKNOWN		UNKNOWN	37552089	37037720	7793654	10.1601	36575476	825118	27887	8538	6082	5463	4820	4608	4617	4427	4641	3848	3708	3242	3578	3681	3988	3552715	2919872	2221542	1625013	1201630	720194	491384	307357	197574	150132	
ECA800	UNKNOWN		UNKNOWN	36599874	36006670	7285557	7.16335	35655663	840841	30231	9603	6435	5504	5081	4162	4080	3405	3290	2769	2473	1674	1576	1670	1655	3350068	2746366	2088886	1531773	1121202	686681	474311	300140	204894	177492	
ECA801	UNKNOWN		UNKNOWN	46800861	45637011	9762244	8.58232	45626020	1010098	32181	10258	6731	6138	5605	5089	5511	4581	4441	4094	3890	3309	3572	3866	4186	4386025	3600314	2745931	2011194	1490594	908681	627194	392593	247398	172610	
ECA802	UNKNOWN		UNKNOWN	28763175	28357957	6212882	6.99481	28036948	643625	22688	7663	5144	4033	3825	3167	3058	2644	2518	2069	2090	1496	1362	1367	1360	2705504	2232454	1694357	1240900	910942	551377	383059	240465	156199	115896	
ECA803	UNKNOWN		UNKNOWN	26908226	25745501	4990445	6.59654	26222871	603082	20443	6818	4497	3724	3366	2910	2868	2518	2326	2171	1961	1578	1604	1625	1743	2493676	2085478	1618635	1225825	943833	619467	460214	311102	208816	152202	
ECA804	UNKNOWN		UNKNOWN	32497065	31149913	6058833	6.98584	31662311	734320	24150	7861	5136	4185	3892	3299	3478	2999	2851	2491	2384	1831	1903	2029	2104	2904171	2402243	1850295	1383995	1061937	695915	518200	353752	239486	175164	
