Strain	LENGTH_ESTIMATE
BRC20464	8.3314800000000009
ECA1299	9.96463
ECA1300	9.34982
ECA1301	8.95815
ECA1302	8.40397
ECA1303	10.1344
ECA1304	9.02885
ECA1305	7.82616
ECA1306	4.69117
ECA1307	9.22062
ECA1310	5.15593
ECA1311	7.16951
ECA1312	6.32959
ECA1401	12.8988
ECA1403	9.9644
ECA1405	10.9685
ECA1481	8.68428
ECA1518	5.7855
ECA1579	6.01948
ECA1581	6.32235
ECA1583	6.0348
ECA1585	6.03728
ECA1599	6.28561
ECA1603	4.45264
ECA2087	7.91252
ECA788	11.4082
ECA789	14.7736
ECA791	11.0708
ECA792	11.7159
ECA793	12.8935
ECA796	8.82316
ECA797	8.12114
ECA798	8.37506
ECA799	10.1601
ECA800	7.16335
ECA801	8.58232
ECA802	6.99481
ECA803	6.59654
ECA804	6.98584
ECA805	4.78927
EG5889	9.16724
EG6180	12.2548
JU1428	10.9468
JU1630	12.9201
JU1631	14.0893
JU1632	9.57376
JU1633	11.4841
JU1634	12.9766
JU1635	15.3468
JU1636	11.7351
JU1639	10.8658
JU1640	8.99488
JU1641	10.5452
JU1818	15.0063
JU1819	15.7018
JU1821	6.97321
JU1835	12.1277
JU1836	10.9628
JU1838	15.675
JU1845	11.5236
JU1846	9.0084
JU1847	15.0018
JU1848	10.4474
JU1849	14.5974
JU1850	14.0545
JU1851	11.2634
JU1870	14.0435
JU1871	12.9763
JU1975	8.67851
JU1976	10.8765
JU2505	14.1614
JU2750	11.732
JU2752	11.2144
NIC1000	12.6685
NIC1004	11.8233
NIC1005	8.93455
NIC1012	9.14228
NIC1016	10.9113
NIC1028	7.82295
NIC1033	11.0578
NIC1038	13.1484
NIC105	12.5057
NIC1112	5.92288
NIC1116	10.0261
NIC1121	11.7455
NIC1126	9.73835
NIC1136	10.1571
NIC1137	12.0728
NIC114	10.9176
NIC1140	12.3681
NIC1142	11.1687
NIC1144	9.03639
NIC1145	9.35882
NIC1146	11.3105
NIC1147	9.65775
NIC1149	10.6157
NIC1150	10.2295
NIC1151	8.87334
NIC1152	7.89666
NIC1153	9.79232
NIC1155	9.6296
NIC1160	9.53811
NIC1161	11.4513
NIC1163	9.39364
NIC1164	11.5071
NIC1165	11.5791
NIC1167	7.4502
